venue_id,venue_name,venue_category,full_address,website,contact_known,naics_code,data_source
VEN-085,Parkwest Casino Manteca,Casino,"1355 N Main St, Manteca, California, 95336, United States",parkwestcasinomanteca.com,True,713210.0,zoominfo
VEN-086,Paso Robles Casino,Casino Hotel,"1144 Black Oak Dr, Paso Robles, California, 93446, United States",pasoroblescasino.com,True,721120.0,zoominfo
VEN-087,Pechanga Resort Casino,Casino Hotel,"45000 Pechanga Pkwy, Temecula, California, 92592, United States",pechanga.com,True,721120.0,zoominfo
VEN-090,Poker House of Dallas,Poker / Card Club,"1676 Regal Row, Dallas, Texas 75247",thepokerhouse.com,False,,accounts_only
VEN-091,Portland Meadows,Racetrack,"8102 NE Lombard St, Portland, Oregon, 97218, United States",portlandmeadows.com,True,711212.0,zoominfo
VEN-092,Prime Social,Poker / Card Club,"7801 Westheimer Rd, Houston, Texas, 77063, United States",primesocialtx.com,True,722410.0,zoominfo
VEN-093,Quechan Casino Resort,Casino Hotel,"525 Algodones Rd, Winterhaven, California, 92283, United States",playqcr.com,True,721120.0,zoominfo
VEN-095,River Spirit Casino,Casino Hotel,"8330 Riverside Pkwy, Tulsa, Oklahoma, 74137, United States",riverspirittulsa.com,True,721120.0,zoominfo
VEN-096,Riverwind Casino,Tribal,"520 Arlington St, Ada, Oklahoma, 74820, United States",riverwind.com,True,921150.0,zoominfo
VEN-099,Rounders Card Club,Racetrack,"3723 Colony Dr Ste 101, San Antonio, Texas, 78230, United States",rounderscardclub.com,True,711219.0,zoominfo
VEN-102,SA Card House,Poker / Card Club,"19314 Us Hwy 281 N Ste 110, San Antonio, Texas, 78258, United States",sacardhouse.com,True,713990.0,zoominfo
VEN-103,San Antonio Poker Palace,Poker / Card Club,"15058 San Pedro Ave, San Antonio, Texas, 78232, United States",sapokerpalace.com,True,713990.0,zoominfo
VEN-104,Shark Tank Poker Club,Poker / Card Club,"1508 Bethel Rd, Columbus, Ohio, 43220, United States",sharktankpokerclub.com,True,713990.0,zoominfo
VEN-105,Shuffle 214,Poker / Card Club,"11411 E Northwest Hwy, Dallas, Texas 75218",shuffle214.com,False,,accounts_only|research
VEN-106,Shuffle 512,Poker / Card Club,"6501 S Congress Ave Ste 1-104, Austin, Texas, 78745, United States",shuffle512.com,True,713990.0,zoominfo
VEN-108,Spades Poker House,Poker / Card Club,"20798 Gulf Fwy, Webster, Texas 77598",spadespokerhouse.com,False,,accounts_only|research
VEN-110,Stones Gambling Hall,Casino,"6508 Antelope Rd 6510, Citrus Heights, California, 95621, United States",stonesgamblinghall.com,True,713210.0,zoominfo
VEN-114,Sycuan Casino Resort,Casino Hotel,"15318 S Avenue B, Somerton, Arizona, 85350, United States",sycuan.com,True,721120.0,zoominfo
VEN-115,Table Mountain Casino,Poker / Card Club,"8184 Table Mountain Rd, Friant, California, 93626, United States",tmcasino.com,True,722513.0,zoominfo
VEN-116,Texas Card House,Casino,"1411 Spring Cypress Rd, Spring, Texas, 77373, United States",texascardhouse.com,True,713210.0,zoominfo
VEN-117,Texline Card House Social Club,Poker / Card Club,"4218 Gibson Lane, Texarkana, Texas 75503",texlinecardhouse.com,False,,accounts_only|research
VEN-118,The Aviator Casino,Casino Hotel,"1225 Airport Dr, Delano, California, 93215, United States",theaviatorcasino.com,True,721120.0,zoominfo
VEN-123,The Hangar Poker House,Casino,"212 N Bender Ave 244, Humble, Texas, 77338, United States",hangarpokerhouse.com,True,713290.0,zoominfo
VEN-125,The Lodge Poker Club,Poker / Card Club,"1401 S Interstate 35 Ste 130, Round Rock, Texas, 78664, United States",thelodgepokerclub.com,True,722511.0,zoominfo
VEN-129,Thunder Valley Casino Resort,Casino Hotel,"1200 Athens Ave, Lincoln, California, 95648, United States",thundervalleyresort.com,True,721120.0,zoominfo
VEN-130,Tortoise Rock Casino,Casino Hotel,"73829 Baseline Rd, Twentynine Palms, California, 92277, United States",tortoiserockcasino.com,True,721120.0,zoominfo
VEN-132,Turlock Poker Room (copy),Poker / Card Club,"115 S Golden State Blvd, Turlock, California, 95380, United States",turlockpoker.com,True,813910.0,zoominfo
VEN-135,Win-River Resort & Casino,Casino Hotel,"2100 Redding Rancheria Rd, Redding, California 96001",winrivercasino.com,False,,accounts_only|research
VEN-136,WinStar World Casino,Tribal,"520 Arlington St, Ada, Oklahoma, 74820, United States",winstar.com,True,921150.0,zoominfo
VEN-137,Windy City Poker Championship,Casino,"18728 Center Ave, Homewood, Illinois, 60430, United States",windycitypokerchampionship.com,True,713290.0,zoominfo
